i,H2,O2,N2,T,mu,muNN,rel_error
908,0.264431,0.319572,0.415996,477.172,1.96091e-05,1.96601e-05,0.00260022
909,0.44352,0.211625,0.344855,2572.85,5.19274e-05,5.03187e-05,0.0309795
910,0.249647,0.278373,0.47198,2563.3,6.21922e-05,6.03493e-05,0.0296333
911,0.342071,0.219113,0.438816,2608.12,5.71801e-05,5.53792e-05,0.0314946
912,0.330736,0.304497,0.364767,2537.66,5.70955e-05,5.53706e-05,0.0302106
913,0.480375,0.486031,0.0335939,955.383,2.6313e-05,2.63788e-05,0.0025024
914,0.294657,0.555217,0.150126,288.759,1.38058e-05,1.38211e-05,0.00110921
915,0.250484,0.351092,0.398424,388.097,1.73281e-05,1.73074e-05,0.00119235
916,0.151494,0.1096,0.738906,1100.42,3.83007e-05,3.83936e-05,0.00242698
917,0.514518,0.425791,0.0596908,2136.15,4.39923e-05,4.28351e-05,0.0263052
918,0.0970145,0.456002,0.446983,1567.15,5.39497e-05,5.34266e-05,0.00969641
919,0.259044,0.305478,0.435478,2152.99,5.48264e-05,5.3417e-05,0.0257078
920,0.604982,0.266453,0.128566,2675.77,4.76737e-05,4.61369e-05,0.0322351
921,0.365819,0.306368,0.327813,1862.29,4.48391e-05,4.39665e-05,0.0194601
922,0.294719,0.491533,0.213748,800.021,2.74227e-05,2.76474e-05,0.00819247
923,0.441301,0.102733,0.455966,773.731,2.29189e-05,2.30325e-05,0.00495814
924,0.344336,0.542355,0.113309,2334.74,5.42612e-05,5.28066e-05,0.0268076
925,0.0641981,0.448372,0.48743,1206.61,4.68051e-05,4.71943e-05,0.00831507
926,0.402645,0.124006,0.473349,2909.37,5.79894e-05,5.59587e-05,0.0350185
927,0.841636,0.131051,0.0273128,1522.61,2.84316e-05,2.74078e-05,0.0360099
928,0.314757,0.383551,0.301692,2971.37,6.4926e-05,6.30356e-05,0.0291152
929,0.438063,0.270336,0.291601,1332.87,3.35658e-05,3.33354e-05,0.00686492
930,0.022454,0.73708,0.240466,385.091,2.3097e-05,2.39657e-05,0.0376103
931,0.0545588,0.373794,0.571647,2195.28,7.0676e-05,6.92161e-05,0.0206553
932,0.320416,0.371661,0.307923,1133.54,3.35566e-05,3.35828e-05,0.000779674
933,0.375283,0.1731,0.451617,200.658,9.73977e-06,1.01716e-05,0.044335
934,0.179524,0.338113,0.482362,555.444,2.38234e-05,2.39039e-05,0.00338234
935,0.295695,0.350527,0.353777,2398.2,5.7051e-05,5.54341e-05,0.0283402
936,0.462325,0.0953098,0.442365,2071.49,4.38615e-05,4.28774e-05,0.022437
937,0.34106,0.521232,0.137708,382.721,1.59535e-05,1.60333e-05,0.00500258
938,0.157436,0.433214,0.409351,2834.49,7.50042e-05,7.30299e-05,0.0263227
939,0.101103,0.498157,0.40074,223.171,1.42063e-05,1.44904e-05,0.0199933
940,0.437046,0.37933,0.183624,1312.02,3.34846e-05,3.32709e-05,0.00638252
941,0.31628,0.352975,0.330745,1239,3.57308e-05,3.56472e-05,0.00234034
942,0.00713165,0.288314,0.704554,1596.02,5.842e-05,5.95863e-05,0.0199645
943,0.240885,0.439311,0.319804,573.268,2.29958e-05,2.31043e-05,0.00471621
944,0.0449591,0.340597,0.614444,1170.88,4.61505e-05,4.68742e-05,0.0156832
945,0.432938,0.359399,0.207663,486.189,1.71465e-05,1.73347e-05,0.010974
946,0.336289,0.38351,0.280201,702.174,2.39186e-05,2.41211e-05,0.00846306
947,0.0362342,0.318156,0.645609,2518.44,7.85679e-05,7.68161e-05,0.0222968
948,0.494571,0.392349,0.11308,1457.8,3.44215e-05,3.40019e-05,0.0121904
949,0.281686,0.427892,0.290422,1920.55,5.00818e-05,4.9038e-05,0.0208418
950,0.258154,0.0201413,0.721705,1757.7,4.66595e-05,4.58257e-05,0.0178689
951,0.320935,0.394537,0.284528,1332.62,3.74981e-05,3.7304e-05,0.00517535
952,0.22654,0.265104,0.508356,1013.5,3.38641e-05,3.39993e-05,0.00399123
953,0.277779,0.331252,0.390969,2529.1,6.01274e-05,5.83691e-05,0.0292439
954,0.187205,0.478985,0.33381,1020.35,3.6249e-05,3.64177e-05,0.00465286
955,0.205646,0.116875,0.677479,1630.18,4.72132e-05,4.64991e-05,0.0151251
956,0.578251,0.322209,0.0995407,1345.8,3.06263e-05,3.02254e-05,0.01309
957,0.365352,0.357802,0.276846,554.741,1.98267e-05,1.9992e-05,0.00833728
958,0.396144,0.217062,0.386794,1479.54,3.71377e-05,3.67721e-05,0.00984354
959,0.292105,0.367943,0.339952,768.814,2.64883e-05,2.66991e-05,0.0079579
960,0.646441,0.109497,0.244062,2446.71,4.33629e-05,4.20798e-05,0.0295912
961,0.223785,0.691718,0.0844971,1018.38,3.54427e-05,3.56379e-05,0.00550701
962,0.335636,0.324055,0.340309,344.697,1.47065e-05,1.48022e-05,0.00650835
963,0.622432,0.138828,0.23874,450.905,1.41077e-05,1.42744e-05,0.0118138
964,0.336881,0.241504,0.421615,639.233,2.21861e-05,2.23604e-05,0.00785292
965,0.396856,0.458939,0.144204,1549.11,3.89556e-05,3.84777e-05,0.0122679
966,0.0986629,0.407795,0.493542,2360.86,7.08872e-05,6.8995e-05,0.0266922
967,0.434541,0.474432,0.0910267,393.22,1.4954e-05,1.51659e-05,0.0141656
968,0.113385,0.729622,0.156994,482.762,2.43868e-05,2.44431e-05,0.00231035
969,0.280873,0.432349,0.286778,924.092,3.05112e-05,3.07038e-05,0.00631442
970,0.27876,0.27738,0.443861,1002.5,3.18967e-05,3.20312e-05,0.00421583
971,0.355205,0.212274,0.432521,2751.2,5.85537e-05,5.66361e-05,0.0327495
972,0.265375,0.283667,0.450958,2276.03,5.64599e-05,5.49071e-05,0.0275035
973,0.385476,0.324073,0.290451,2840.73,5.87323e-05,5.68001e-05,0.0328978
974,0.416394,0.486459,0.0971471,2545.47,5.37157e-05,5.20842e-05,0.0303742
975,0.347513,0.381251,0.271236,2287.56,5.27017e-05,5.12707e-05,0.0271517
976,0.455779,0.383014,0.161207,2866.76,5.59626e-05,5.40502e-05,0.034173
977,0.367052,0.363958,0.26899,1359.67,3.63504e-05,3.61185e-05,0.00637932
978,0.309129,0.0114986,0.679373,1184.23,3.39545e-05,3.39259e-05,0.000841948
979,0.145314,0.493928,0.360758,1591.69,5.16517e-05,5.10108e-05,0.0124076
980,0.532713,0.462696,0.0045909,903.43,2.43514e-05,2.43923e-05,0.00167693
981,0.359701,0.174773,0.465527,1756.23,4.29064e-05,4.21916e-05,0.0166603
982,0.319429,0.300572,0.379999,1635.98,4.28366e-05,4.2236e-05,0.0140197
983,0.371901,0.407046,0.221052,2362.99,5.2793e-05,5.13067e-05,0.0281537
984,0.014199,0.289377,0.696424,1214.19,4.82003e-05,4.97099e-05,0.0313191
985,0.532311,0.328061,0.139628,829.456,2.28037e-05,2.28582e-05,0.00238904
986,0.0476369,0.356667,0.595696,2468.82,7.70091e-05,7.51494e-05,0.0241499
987,0.173694,0.356732,0.469573,547.539,2.37893e-05,2.38621e-05,0.00306153
988,0.617283,0.33455,0.0481672,586.348,1.70785e-05,1.71877e-05,0.00639166
989,0.124867,0.331695,0.543438,1939.07,5.9532e-05,5.82428e-05,0.0216549
