j,H2,O2,N2,T,mu
9119,0.604353,0.0921858,0.303462,605.855,1.74471e-06
9120,0.119934,0.255765,0.624302,2969.63,7.6913e-06
9121,0.559491,0.091841,0.348668,257.089,1.0131e-06
9122,0.154178,0.399136,0.446686,2886.58,7.35926e-06
9123,0.409604,0.276769,0.313627,782.015,2.4069e-06
9124,0.89757,0.0238661,0.0785636,515.155,1.33812e-06
9125,0.26977,0.288571,0.441658,2540.03,5.88586e-06
9126,0.404785,0.138685,0.45653,942.166,2.7029e-06
9127,0.0547479,0.22853,0.716722,2860.64,8.07786e-06
9128,0.986692,0.00310081,0.0102074,338.6,9.78661e-07
9129,0.366644,0.246654,0.386702,2002.12,4.58433e-06
9130,0.455603,0.126844,0.417552,793.175,2.31621e-06
9131,0.603419,0.260346,0.136236,1597.6,3.30981e-06
9132,0.276875,0.304816,0.418309,682.505,2.49471e-06
9133,0.415497,0.136189,0.448314,917.461,2.63238e-06
9134,0.377863,0.36826,0.253877,1075.52,3.06707e-06
9135,0.257646,0.172968,0.569386,1296.28,3.82849e-06
9136,0.40994,0.057461,0.532599,1056.93,2.88351e-06
9137,0.15104,0.197808,0.651152,1175.04,4.05659e-06
9138,0.37667,0.137983,0.485347,2858.1,5.66268e-06
9139,0.435445,0.325368,0.239186,2337.99,4.80065e-06
9140,0.295184,0.27537,0.429446,2276.24,5.33977e-06
9141,0.499732,0.116562,0.383705,1103.73,2.77586e-06
9142,0.020351,0.228258,0.751391,1352.76,5.16168e-06
9143,0.511012,0.475656,0.0133315,2939.59,5.29378e-06
9144,0.49554,0.352717,0.151744,1187.51,2.96506e-06
9145,0.0791031,0.85018,0.0707172,449.043,2.50571e-06
9146,0.108991,0.207605,0.683404,1225.24,4.38763e-06
9147,0.0293234,0.226168,0.744509,1480.57,5.42946e-06
9148,0.959937,0.00933471,0.0307284,289.724,8.93188e-07
9149,0.716656,0.0660192,0.217325,647.733,1.70335e-06
9150,0.211536,0.183712,0.604752,1250.57,3.93487e-06
9151,0.972652,0.00637197,0.0209755,288.407,8.85907e-07
9152,0.387608,0.352932,0.25946,2181.2,4.79203e-06
9153,0.584122,0.0126922,0.403186,871.28,2.23108e-06
9154,0.92662,0.0170976,0.0562827,555.15,1.38678e-06
9155,0.577376,0.418338,0.00428604,821.191,2.20901e-06
9156,0.348683,0.406235,0.245082,1146.99,3.29435e-06
9157,0.00327832,0.666671,0.330051,1137.7,4.96336e-06
9158,0.33096,0.535778,0.133262,1354.78,3.77115e-06
9159,0.448796,0.0515041,0.4997,2563.4,4.94363e-06
9160,0.332722,0.478375,0.188903,2847.34,6.03991e-06
9161,0.452969,0.127458,0.419573,818.633,2.36954e-06
9162,0.189726,0.188794,0.62148,1451.89,4.44355e-06
9163,0.16123,0.195433,0.643337,1271.23,4.2172e-06
9164,0.0934412,0.815342,0.0912171,733.827,3.42965e-06
9165,0.00634565,0.497013,0.496641,2853.91,8.7368e-06
9166,0.0245525,0.513237,0.462211,1618.5,6.00546e-06
9167,0.602902,0.0925237,0.304574,754.877,2.01687e-06
9168,0.815647,0.0429544,0.141399,718.319,1.72854e-06
9169,0.0825671,0.147031,0.770402,312.439,1.77518e-06
9170,0.93699,0.0146814,0.0483288,295.729,9.14013e-07
9171,0.367918,0.250412,0.381671,286.041,1.26623e-06
9172,0.693357,0.0714478,0.235195,708.985,1.83114e-06
9173,0.116671,0.420675,0.462654,1155.87,4.28781e-06
