j,H2,O2,N2,T,mu
8724,0.145454,0.495762,0.358784,716.754,2.99563e-05
8725,0.110224,0.331356,0.55842,2937.24,8.04812e-05
8726,0.338034,0.484502,0.177464,1398.33,3.83915e-05
8727,0.386196,0.458944,0.15486,2950.26,6.08094e-05
8728,0.0584557,0.177556,0.763989,744.957,3.27085e-05
8729,0.175263,0.423877,0.40086,2190.44,6.15338e-05
8730,0.439455,0.518539,0.0420055,2817.08,5.65557e-05
8731,0.388022,0.373573,0.238405,415.083,1.59972e-05
8732,0.413464,0.157286,0.429249,442.114,1.61017e-05
8733,0.0154765,0.255022,0.729502,1503.28,5.55417e-05
8734,0.551751,0.342361,0.105888,2758.75,5.065e-05
8735,0.524462,0.465169,0.0103698,2860.62,5.3319e-05
8736,0.378975,0.337716,0.283309,1586.65,3.98582e-05
8737,0.054567,0.0830938,0.862339,673.073,3.02703e-05
8738,0.0126521,0.664637,0.322711,371.434,2.24537e-05
8739,0.299546,0.333396,0.367058,1514.26,4.15413e-05
8740,0.250808,0.386493,0.362698,233.646,1.23068e-05
8741,0.426916,0.270283,0.302801,2096.01,4.59965e-05
8742,0.290149,0.332095,0.377756,2795.1,6.35567e-05
8743,0.242477,0.0494566,0.708066,2653.59,6.28891e-05
8744,0.354003,0.197284,0.448713,1996.28,4.71138e-05
8745,0.0962168,0.580522,0.323261,1671.89,5.72745e-05
8746,0.0738466,0.309899,0.616255,673.233,3.05156e-05
8747,0.350394,0.382893,0.266713,718.973,2.39949e-05
8748,0.425951,0.227377,0.346672,2782.27,5.55875e-05
8749,0.347478,0.480601,0.171922,2925.12,6.27317e-05
8750,0.674182,0.161824,0.163994,617.286,1.69321e-05
8751,0.662585,0.0515392,0.285875,1890.47,3.59914e-05
8752,0.381579,0.315628,0.302793,2945.69,6.03615e-05
8753,0.0410341,0.540204,0.418762,733.862,3.44802e-05
8754,0.417278,0.304132,0.27859,1929.3,4.39367e-05
8755,0.252118,0.403781,0.3441,1462.5,4.28243e-05
8756,0.395995,0.289229,0.314777,2197.9,4.88011e-05
8757,0.324213,0.242175,0.433612,2153.74,5.11512e-05
8758,0.126515,0.581102,0.292383,2256.59,6.77266e-05
8759,0.139765,0.0461504,0.814085,1985.72,5.77026e-05
8760,0.357675,0.0749353,0.56739,832.023,2.57189e-05
8761,0.3416,0.461915,0.196485,2488.57,5.64541e-05
8762,0.382309,0.113998,0.503694,2239.19,4.93776e-05
8763,0.351857,0.38422,0.263924,1060.15,3.11795e-05
8764,0.0823482,0.64226,0.275392,2021.03,6.68358e-05
8765,0.506133,0.108343,0.385524,472.078,1.56599e-05
8766,0.247617,0.377298,0.375085,1809.44,4.96128e-05
8767,0.412358,0.439201,0.148441,2094,4.70744e-05
8768,0.420266,0.193098,0.386635,1951.58,4.38328e-05
8769,0.364873,0.503027,0.132099,1610.97,4.12815e-05
8770,0.312771,0.385629,0.3016,1555.53,4.19429e-05
8771,0.415402,0.00896275,0.575635,2963.16,5.76386e-05
